rank;code;fr_name;fr_release;en_name;us_release;jap_name;jap_release;classic_size;full_size;category;fr_url;en_url;symbol_url;bloc_code
9;sm7;Tempête Céleste;03/08/2018;Celestial Storm;03/08/2018;;;168;;;https://www.pokecardex.com/assets/images/logos/SM07.png;https://images.pokemontcg.io/sm7/logo.png;https://images.pokemontcg.io/sm7/symbol.png;SM
8;sm6;Lumière Interdite;04/05/2018;Forbidden Light;04/05/2018;;;131;;;https://www.pokecardex.com/assets/images/logos/SM06.png;https://images.pokemontcg.io/sm6/logo.png;https://images.pokemontcg.io/sm6/symbol.png;SM
7;sm5;Ultra Prisme;02/02/2018;Ultra Prism;02/02/2018;;;156;;;https://www.pokecardex.com/assets/images/logos/SM05.png;https://images.pokemontcg.io/sm5/logo.png;https://images.pokemontcg.io/sm5/symbol.png;SM
6;sm4;Invasion Carmin;04/11/2017;Crimson Invasion;03/11/2017;;;111;;;https://www.pokecardex.com/assets/images/logos/SM04.png;https://images.pokemontcg.io/sm4/logo.png;https://images.pokemontcg.io/sm4/symbol.png;SM
5;sm35;Légendes Brillantes;20/10/2017;Shining Legends;06/10/2017;;;72;;;https://www.pokecardex.com/assets/images/logos/SLE.png;https://images.pokemontcg.io/sm35/logo.png;https://images.pokemontcg.io/sm35/symbol.png;SM
4;sm3;Ombres Ardentes;19/08/2017;Burning Shadows;05/08/2017;;;147;;;https://www.pokecardex.com/assets/images/logos/SM03.png;https://images.pokemontcg.io/sm3/logo.png;https://images.pokemontcg.io/sm3/symbol.png;SM
3;sm2;Gardiens Ascendants;13/05/2017;Guardians Rising;05/05/2017;;;145;;;https://www.pokecardex.com/assets/images/logos/SM02.png;https://images.pokemontcg.io/sm2/logo.png;https://images.pokemontcg.io/sm2/symbol.png;SM
2;sm1;Soleil & Lune;03/02/2017;Sun & Moon;03/02/2017;;;149;;;https://www.pokecardex.com/assets/images/logos/SM01.png;https://images.pokemontcg.io/sm1/logo.png;https://images.pokemontcg.io/sm1/symbol.png;SM
1;smp;Soleil & Lune Promos;03/02/2017;SM Black Star Promos;03/02/2017;;;156;;;https://www.pokecardex.com/assets/images/logos/SM01.png;https://images.pokemontcg.io/smp/logo.png;https://images.pokemontcg.io/smp/symbol.png;SM
16;xy12;Évolutions;16/09/2016;Evolutions;02/11/2016;;;108;;;https://www.pokecardex.com/assets/images/logos/EVO.png;https://images.pokemontcg.io/xy12/logo.png;https://images.pokemontcg.io/xy12/symbol.png;XY
